Date,Open,High,Low,Close,Adj Close,Volume
1993-06-03,14.875,15.0,14.5,14.6875,7.402374267578125,56603000
1993-06-04,14.5625,14.6875,14.3125,14.3125,7.213379383087158,12644400
1993-06-07,14.125,14.25,14.0,14.0625,7.087379455566406,10043800
1993-06-08,14.0625,14.125,13.8125,13.875,6.992879867553711,6974600
1993-06-09,13.9375,14.25,13.9375,14.125,7.118876934051514,4043200
1993-06-10,14.0625,14.125,13.9375,14.0,7.055880069732666,2605400
1993-06-11,14.0,14.1875,14.0,14.0,7.055880069732666,2641600
1993-06-14,14.0625,14.125,13.875,13.875,6.992879867553711,1806200
1993-06-15,14.0,14.0,13.875,13.9375,7.024382591247559,2257600
1993-06-16,13.9375,14.0,13.875,14.0,7.055880069732666,2391600
1993-06-17,14.0,14.125,13.9375,14.0,7.055880069732666,2126800
1993-06-18,14.0,14.0,13.8125,13.8125,6.961381435394287,2128600
1993-06-21,13.8125,13.8125,13.5625,13.6875,6.898384094238281,2101000
1993-06-22,13.6875,13.875,13.6875,13.875,6.992879867553711,1593600
1993-06-23,13.875,14.0,13.8125,13.8125,6.961381435394287,1948000
1993-06-24,13.8125,14.0625,13.625,14.0625,7.087379455566406,3305200
1993-06-25,14.25,14.3125,14.0625,14.25,7.18187952041626,2468000
1993-06-28,14.1875,14.5,14.1875,14.5,7.307877540588379,2522600
1993-06-29,14.4375,14.5,14.125,14.375,7.244875907897949,1190800
1993-06-30,14.5,14.625,14.4375,14.5,7.307877540588379,2553800
1993-07-01,14.6875,14.75,14.3125,14.75,7.433869361877441,2857800
1993-07-02,14.4375,14.4375,14.3125,14.375,7.244875907897949,1077200
1993-07-06,14.4375,14.5625,14.3125,14.3125,7.213379383087158,1237600
1993-07-07,14.25,14.375,14.1875,14.25,7.18187952041626,1667200
1993-07-08,14.3125,14.5,14.25,14.4375,7.276377201080322,1588600
1993-07-09,14.5625,14.625,14.25,14.25,7.18187952041626,1731200
1993-07-12,14.375,14.375,13.9375,14.125,7.118876934051514,1738600
