Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,6.40625,6.75,6.40625,6.75,0.25382745265960693,73200
1970-01-05,6.8125,7.03125,6.8125,7.03125,0.2644037902355194,130800
1970-01-06,7.03125,7.15625,6.8125,6.9375,0.2608782947063446,312400
1970-01-07,6.90625,6.90625,6.8125,6.84375,0.2573528289794922,51600
1970-01-08,6.84375,6.9375,6.8125,6.84375,0.2573528289794922,79200
1970-01-09,6.84375,6.90625,6.8125,6.90625,0.2597030699253082,45600
1970-01-12,6.90625,6.90625,6.84375,6.875,0.25852805376052856,51200
1970-01-13,6.875,6.875,6.71875,6.71875,0.2526523470878601,136800
1970-01-14,6.71875,6.78125,6.65625,6.71875,0.2526523470878601,61600
1970-01-15,6.71875,6.71875,6.5625,6.5625,0.2467769831418991,85200
1970-01-16,6.5625,6.59375,6.5,6.53125,0.2456015646457672,158000
1970-01-19,6.5625,6.6875,6.5625,6.6875,0.25147736072540283,56000
1970-01-20,6.6875,6.84375,6.625,6.84375,0.2573528289794922,93600
1970-01-21,6.8125,6.8125,6.71875,6.71875,0.2526523470878601,86800
1970-01-22,6.71875,6.71875,6.65625,6.71875,0.2526523470878601,70000
1970-01-23,6.71875,6.78125,6.65625,6.75,0.25382745265960693,60000
1970-01-26,6.75,6.8125,6.75,6.8125,0.2561778426170349,59600
1970-01-27,6.8125,6.90625,6.75,6.78125,0.2550026476383209,74000
1970-01-28,6.78125,6.8125,6.65625,6.6875,0.25147736072540283,53200
1970-01-29,6.6875,6.8125,6.625,6.8125,0.2561778426170349,53600
1970-01-30,6.8125,6.8125,6.71875,6.75,0.25382745265960693,44400
1970-02-02,6.75,6.8125,6.65625,6.75,0.25489428639411926,50800
1970-02-03,6.75,6.78125,6.65625,6.6875,0.25253424048423767,33200
1970-02-04,6.6875,6.75,6.6875,6.75,0.25489428639411926,35200
1970-02-05,6.71875,6.71875,6.625,6.6875,0.25253424048423767,56400
1970-02-06,6.6875,6.71875,6.625,6.71875,0.25371435284614563,37600
1970-02-09,6.71875,6.71875,6.65625,6.71875,0.25371435284614563,59200
1970-02-10,6.71875,6.71875,6.65625,6.71875,0.25371435284614563,34800
1970-02-11,6.71875,6.71875,6.65625,6.6875,0.25253424048423767,40000
1970-02-12,6.6875,6.71875,6.65625,6.65625,0.2513541877269745,35200
1970-02-13,6.65625,6.6875,6.59375,6.59375,0.2489939033985138,61600
1970-02-16,6.59375,6.6875,6.5625,6.59375,0.2489939033985138,44800
1970-02-17,6.59375,6.6875,6.5625,6.625,0.2501741647720337,36800
1970-02-18,6.625,6.6875,6.59375,6.625,0.2501741647720337,47200
1970-02-19,6.625,6.71875,6.625,6.6875,0.25253424048423767,30400
1970-02-20,6.6875,6.71875,6.625,6.71875,0.25371435284614563,59200
1970-02-24,6.71875,6.71875,6.65625,6.6875,0.25253424048423767,56400
1970-02-25,6.6875,6.78125,6.6875,6.75,0.25489428639411926,72400
1970-02-26,6.75,6.8125,6.75,6.75,0.25489428639411926,44800
