Date,Open,High,Low,Close,Adj Close,Volume
1992-06-01,1.8125,2.0625,1.8125,2.0625,1.5410056114196777,3012000
1992-06-02,2.0625,2.125,2.0,2.09375,1.5643539428710938,1220800
1992-06-03,2.125,2.4375,2.0625,2.4375,1.82118821144104,1423200
1992-06-04,2.5625,2.5625,2.375,2.4375,1.82118821144104,883200
1992-06-05,2.4375,2.4375,2.125,2.3125,1.7277942895889282,413600
1992-06-08,2.3125,2.3125,2.1875,2.3125,1.7277942895889282,307200
1992-06-09,2.3125,2.3125,1.9375,2.0,1.494308590888977,175200
1992-06-10,2.0,2.1875,2.0,2.1875,1.634399652481079,70400
1992-06-11,2.1875,2.1875,2.0625,2.1875,1.634399652481079,120800
1992-06-12,2.25,2.3125,2.1875,2.3125,1.7277942895889282,151600
1992-06-15,2.3125,2.375,2.25,2.375,1.7744921445846558,238800
1992-06-16,2.375,2.375,2.21875,2.3125,1.7277942895889282,165200
1992-06-17,2.125,2.25,1.9375,2.0,1.494308590888977,322800
1992-06-18,2.0625,2.125,1.9375,1.96875,1.4709599018096924,112000
1992-06-19,2.0625,2.125,2.0625,2.125,1.5877026319503784,26800
1992-06-22,2.125,2.125,1.9375,2.0,1.494308590888977,94800
1992-06-23,2.125,2.125,2.0625,2.125,1.5877026319503784,63200
1992-06-24,2.125,2.125,2.0,2.0,1.494308590888977,549600
1992-06-25,2.1875,2.1875,2.0625,2.125,1.5877026319503784,110800
1992-06-26,2.1875,2.1875,2.0625,2.1875,1.634399652481079,20000
1992-06-29,2.1875,2.3125,2.125,2.3125,1.7277942895889282,59600
1992-06-30,2.3125,2.3125,2.21875,2.3125,1.7277942895889282,26800
1992-07-01,2.3125,2.4375,2.25,2.3125,1.7277942895889282,644800
1992-07-02,2.4375,2.4375,1.96875,2.0625,1.5410056114196777,1184400
1992-07-06,2.125,2.125,2.0,2.125,1.5877026319503784,66400
1992-07-07,2.125,2.125,1.9375,1.9375,1.447611689567566,70000
1992-07-08,2.0,2.0,1.875,2.0,1.494308590888977,523200
1992-07-09,2.0625,2.0625,2.0,2.0625,1.5410056114196777,15600
1992-07-10,2.0625,2.1875,2.0625,2.1875,1.634399652481079,27200
1992-07-13,2.1875,2.1875,2.125,2.1875,1.634399652481079,42000
1992-07-14,2.125,2.1875,2.0625,2.1875,1.634399652481079,122000
1992-07-15,2.1875,2.375,2.125,2.1875,1.634399652481079,91200
1992-07-16,2.375,2.375,2.1875,2.1875,1.634399652481079,23600
1992-07-17,2.1875,2.375,2.1875,2.3125,1.7277942895889282,44000
1992-07-20,2.25,2.3125,2.1875,2.3125,1.7277942895889282,47200
1992-07-21,2.375,2.5,2.25,2.4375,1.82118821144104,382800
