<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/04/21;09:35:00,133.5300000,133.6000000,132.3900000,132.8000000,222389
01/04/21;09:40:00,132.8400000,132.8700000,131.8100000,131.8800000,111840
01/04/21;09:45:00,131.9000000,132.3300000,131.4700000,132.1000000,103365
01/04/21;09:50:00,132.0700000,132.2900000,131.8700000,132.2500000,100715
01/04/21;09:55:00,132.2200000,132.2300000,131.5200000,131.5700000,85547
01/04/21;10:00:00,131.6100000,132.0700000,131.3000000,131.4500000,125388
01/04/21;10:05:00,131.4700000,131.6500000,131.0700000,131.1100000,107119
01/04/21;10:10:00,131.1300000,131.4700000,130.8000000,130.8600000,100446
01/04/21;10:15:00,130.8700000,131.0700000,130.3900000,130.5100000,118558
01/04/21;10:20:00,130.5000000,130.9600000,130.4700000,130.9100000,74783
01/04/21;10:25:00,130.8800000,131.1100000,130.8500000,130.9400000,59768
01/04/21;10:30:00,130.9600000,131.1400000,130.7950000,131.0500000,58462
01/04/21;10:35:00,131.0600000,131.2300000,130.6200000,130.6600000,77052
01/04/21;10:40:00,130.6800000,131.1200000,130.5700000,131.1000000,42605
01/04/21;10:45:00,131.1300000,131.3000000,131.0400000,131.0700000,40862
01/04/21;10:50:00,131.0300000,131.0300000,130.4900000,130.7500000,70310
01/04/21;10:55:00,130.6900000,130.8300000,130.4700000,130.7000000,96030
01/04/21;11:00:00,130.7100000,131.2500000,130.7100000,130.9700000,71519
01/04/21;11:05:00,130.9500000,131.3000000,130.1600000,130.2700000,105889
01/04/21;11:10:00,130.3100000,130.5400000,129.6800000,129.8700000,141629
01/04/21;11:15:00,129.8500000,130.2200000,129.4200000,130.0900000,81434
01/04/21;11:20:00,130.0800000,130.3300000,129.9100000,130.3300000,50037
01/04/21;11:25:00,130.3100000,130.4000000,129.9400000,130.0000000,32449
01/04/21;11:30:00,130.0000000,130.1900000,129.8900000,129.8900000,29885
01/04/21;11:35:00,129.9000000,130.0900000,129.6300000,129.9100000,59457
01/04/21;11:40:00,129.9200000,129.9200000,129.6000000,129.7150000,47658
01/04/21;11:45:00,129.6800000,129.6800000,129.2800000,129.3900000,83890
01/04/21;11:50:00,129.3900000,129.5800000,129.3400000,129.4200000,49352
01/04/21;11:55:00,129.4100000,129.5100000,129.1200000,129.1400000,66987
01/04/21;12:00:00,129.1100000,129.1700000,128.8000000,128.8200000,122781
01/04/21;12:05:00,128.8000000,128.8700000,128.4000000,128.5700000,99010
01/04/21;12:10:00,128.5900000,128.7900000,128.2200000,128.2300000,63883
01/04/21;12:15:00,128.2300000,128.3100000,127.1100000,127.4300000,134275
01/04/21;12:20:00,127.4000000,128.0300000,126.7700000,128.0100000,115375
