<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/04/21;09:35:00,3267.3400000,3270.9100000,3258.7350000,3260.8400000,2441
01/04/21;09:40:00,3254.5000000,3257.0000000,3246.2100000,3246.3300000,1400
01/04/21;09:45:00,3243.9700000,3250.0000000,3242.0750000,3246.2400000,1600
01/04/21;09:50:00,3249.9800000,3252.0000000,3248.3000000,3251.9100000,1355
01/04/21;09:55:00,3251.4500000,3251.4500000,3232.3700000,3240.4400000,1100
01/04/21;10:00:00,3238.2300000,3238.2300000,3238.2300000,3238.2300000,100
01/04/21;10:05:00,3239.5500000,3239.7600000,3234.0600000,3234.0600000,800
01/04/21;10:10:00,3235.2700000,3235.2700000,3229.3100000,3230.7550000,1008
01/04/21;10:15:00,3230.7000000,3231.0000000,3218.9500000,3222.5200000,2000
01/04/21;10:20:00,3224.8900000,3227.0500000,3224.8900000,3226.3900000,600
01/04/21;10:25:00,3226.4400000,3233.0400000,3225.3500000,3233.0400000,1000
01/04/21;10:30:00,3231.8500000,3234.9700000,3231.8500000,3234.4200000,400
01/04/21;10:35:00,3237.0300000,3237.0300000,3229.0300000,3229.0300000,400
01/04/21;10:40:00,3229.0000000,3229.0000000,3228.5000000,3228.5000000,200
01/04/21;10:45:00,3235.0000000,3235.5100000,3231.6500000,3232.5700000,700
01/04/21;10:50:00,3228.3650000,3228.3650000,3218.1700000,3220.2900000,1200
01/04/21;10:55:00,3221.0000000,3221.5400000,3218.5500000,3221.1000000,823
01/04/21;11:00:00,3217.8800000,3217.8800000,3212.0300000,3214.7500000,600
01/04/21;11:05:00,3211.3500000,3212.6900000,3199.5300000,3201.0700000,1400
01/04/21;11:10:00,3201.7300000,3201.7300000,3190.8950000,3195.2100000,1400
01/04/21;11:15:00,3193.7000000,3201.4400000,3193.7000000,3198.1350000,700
01/04/21;11:20:00,3201.0600000,3201.0600000,3193.9500000,3193.9500000,908
01/04/21;11:25:00,3194.4600000,3194.9000000,3193.0200000,3193.0200000,400
01/04/21;11:30:00,3191.4800000,3197.1500000,3191.4800000,3195.1800000,700
01/04/21;11:35:00,3193.4900000,3194.2900000,3187.0000000,3188.3900000,1200
01/04/21;11:40:00,3187.9400000,3188.9800000,3187.9400000,3188.9800000,200
01/04/21;11:45:00,3190.5850000,3190.9500000,3185.3550000,3190.6300000,1520
01/04/21;11:50:00,3187.5600000,3189.5800000,3185.5000000,3189.5800000,809
01/04/21;11:55:00,3190.9800000,3191.3300000,3185.2700000,3185.2700000,1015
01/04/21;12:00:00,3182.0000000,3184.0000000,3175.0100000,3175.0100000,1511
01/04/21;12:05:00,3177.0200000,3177.0200000,3170.0000000,3171.1000000,1830
01/04/21;12:10:00,3170.2600000,3170.2600000,3158.9200000,3158.9200000,2046
01/04/21;12:15:00,3159.9250000,3159.9250000,3150.6900000,3151.0800000,1800
01/04/21;12:20:00,3150.8600000,3156.5500000,3150.0000000,3156.5500000,1300
01/04/21;12:25:00,3154.1150000,3163.1600000,3153.6800000,3163.0100000,1142
01/04/21;12:30:00,3161.9700000,3161.9700000,3155.1500000,3159.1400000,800
