<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/04/21;09:35:00,523.6500000,523.6500000,519.1400000,520.9000000,5105
01/04/21;09:40:00,520.2500000,522.1900000,520.0400000,521.2700000,4672
01/04/21;09:45:00,521.1700000,527.0000000,521.1700000,527.0000000,3600
01/04/21;09:50:00,527.3100000,535.0000000,527.3100000,535.0000000,20849
01/04/21;09:55:00,535.2600000,536.5500000,533.2800000,536.5500000,12458
01/04/21;10:00:00,537.1200000,537.9800000,535.7000000,536.1600000,10842
01/04/21;10:05:00,536.2200000,538.0000000,535.7900000,537.2800000,6062
01/04/21;10:10:00,537.3400000,539.6800000,537.3400000,539.1900000,12100
01/04/21;10:15:00,539.6800000,540.1000000,537.3450000,539.7500000,8318
01/04/21;10:20:00,539.8000000,540.7100000,539.2500000,540.2000000,6326
01/04/21;10:25:00,540.7400000,543.1300000,540.4400000,542.9000000,7870
01/04/21;10:30:00,543.0100000,544.3900000,542.5300000,544.3900000,7756
01/04/21;10:35:00,544.4500000,545.0400000,542.4400000,543.8000000,9416
01/04/21;10:40:00,543.7300000,545.3500000,543.5800000,545.3400000,8139
01/04/21;10:45:00,545.2300000,546.0800000,544.5000000,544.5000000,7534
01/04/21;10:50:00,544.3700000,544.3700000,541.6900000,542.3200000,10646
01/04/21;10:55:00,542.3700000,542.4300000,540.1500000,540.4000000,5817
01/04/21;11:00:00,540.6600000,540.8800000,538.0600000,538.2000000,7550
01/04/21;11:05:00,538.2900000,539.4300000,536.6700000,536.7700000,5569
01/04/21;11:10:00,536.5800000,537.5700000,535.0000000,535.8000000,3758
01/04/21;11:15:00,534.7600000,537.5700000,534.7600000,535.6700000,4975
01/04/21;11:20:00,535.2700000,536.5700000,534.7300000,536.1100000,3162
01/04/21;11:25:00,535.3800000,535.7600000,533.6950000,534.2000000,4372
01/04/21;11:30:00,534.6800000,534.8600000,533.4950000,533.7000000,4774
01/04/21;11:35:00,533.0100000,533.9500000,532.7300000,533.9500000,1700
01/04/21;11:40:00,533.7500000,535.0000000,532.1300000,535.0000000,2784
01/04/21;11:45:00,533.7400000,533.7700000,531.8200000,532.3800000,2161
01/04/21;11:50:00,532.7900000,533.0100000,531.7800000,532.5300000,1200
01/04/21;11:55:00,532.3400000,532.9100000,530.8000000,530.9300000,2552
01/04/21;12:00:00,530.9300000,531.3800000,529.4500000,529.4500000,2424
01/04/21;12:05:00,529.2700000,530.2300000,527.7700000,527.8300000,2591
01/04/21;12:10:00,527.6700000,528.3500000,525.0000000,525.8400000,4398
01/04/21;12:15:00,525.6600000,525.6600000,523.5400000,524.9900000,3797
01/04/21;12:20:00,524.3300000,526.5400000,523.6100000,526.2600000,3146
01/04/21;12:25:00,525.3900000,527.2800000,525.2000000,527.1500000,3260
01/04/21;12:30:00,526.8100000,527.0100000,524.6500000,524.6500000,2767
01/04/21;12:35:00,524.3800000,526.0000000,523.4300000,525.9100000,3700
01/04/21;12:40:00,526.0000000,526.3000000,524.7000000,524.7700000,2650
01/04/21;12:45:00,524.2400000,524.2400000,522.4600000,523.1500000,3023
01/04/21;12:50:00,522.8700000,523.1300000,521.7400000,522.4200000,1414
01/04/21;12:55:00,522.5500000,525.4400000,522.1500000,525.3100000,5923
01/04/21;13:00:00,525.5700000,527.1500000,525.4900000,525.4900000,6128
01/04/21;13:05:00,525.5100000,525.8600000,524.1500000,524.5400000,3206
01/04/21;13:10:00,524.5400000,524.6500000,523.8000000,524.4100000,2371
01/04/21;13:15:00,524.0900000,524.1100000,523.2800000,523.6000000,6350
01/04/21;13:20:00,523.4600000,524.1500000,523.3200000,523.3200000,2590
01/04/21;13:25:00,523.4200000,524.0250000,523.3600000,524.0250000,2218
01/04/21;13:30:00,524.1200000,524.8700000,524.1200000,524.3100000,4107
01/04/21;13:35:00,524.2400000,524.2400000,522.2200000,522.2200000,2300
01/04/21;13:40:00,522.1000000,524.0100000,522.1000000,524.0000000,900
01/04/21;13:45:00,524.0900000,525.4900000,523.9000000,525.4300000,3700
01/04/21;13:50:00,525.4250000,526.1400000,525.3200000,525.8200000,1700
01/04/21;13:55:00,525.6400000,526.7900000,525.4000000,526.7900000,2744
01/04/21;14:00:00,526.7400000,526.7700000,526.1700000,526.6000000,1401
01/04/21;14:05:00,526.7400000,527.2900000,526.6600000,526.7800000,2520
01/04/21;14:10:00,526.5000000,526.5000000,524.2500000,524.4200000,1843
01/04/21;14:15:00,525.1300000,525.2200000,525.0000000,525.1500000,914
01/04/21;14:20:00,525.9200000,526.9400000,525.9200000,526.8900000,1300
01/04/21;14:25:00,526.6900000,526.6900000,526.2500000,526.5900000,1100
01/04/21;14:30:00,525.9500000,526.2000000,525.2600000,525.2600000,932
01/04/21;14:35:00,525.0250000,526.3600000,525.0250000,525.2600000,3100
01/04/21;14:40:00,524.7700000,525.8900000,524.6200000,525.8900000,627
01/04/21;14:45:00,525.1900000,525.2700000,524.9300000,525.2700000,500
01/04/21;14:50:00,525.0000000,525.0000000,524.5300000,524.5300000,600
01/04/21;14:55:00,524.1400000,524.1400000,523.4900000,523.5200000,1630
01/04/21;15:00:00,523.8700000,526.9800000,523.7900000,526.5000000,4895
01/04/21;15:05:00,526.8300000,526.8300000,525.7300000,525.8500000,2467
01/04/21;15:10:00,525.7200000,526.8300000,525.7200000,526.1100000,1200
01/04/21;15:15:00,526.5300000,527.7400000,526.3200000,527.4600000,1994
01/04/21;15:20:00,527.5700000,527.5700000,526.0400000,526.4200000,2966
01/04/21;15:25:00,526.4200000,526.4200000,525.6550000,526.1650000,1129
01/04/21;15:30:00,525.9500000,526.9300000,525.9500000,526.1400000,1189
01/04/21;15:35:00,526.3100000,526.3100000,524.7350000,525.2400000,3432
01/04/21;15:40:00,525.3300000,525.6200000,524.9200000,525.4800000,2940
01/04/21;15:45:00,525.3200000,525.3200000,524.5800000,525.1700000,3735
01/04/21;15:50:00,525.1400000,525.6350000,524.7300000,525.0200000,6728
01/04/21;15:55:00,524.9800000,525.8100000,524.4700000,524.6700000,15562
01/04/21;16:00:00,524.6800000,524.8900000,523.9000000,524.3800000,13211
01/05/21;09:35:00,524.4500000,528.3000000,523.7300000,528.0000000,5576
01/05/21;09:40:00,528.5700000,529.8400000,528.1000000,528.6700000,2839
01/05/21;09:45:00,530.6300000,534.2000000,530.6300000,533.6400000,6192
01/05/21;09:50:00,533.6500000,535.1900000,531.5800000,535.1900000,2526
01/05/21;09:55:00,534.6100000,535.6200000,534.1800000,535.3700000,2620
01/05/21;10:00:00,535.3600000,535.4500000,533.9800000,534.3700000,5077
01/05/21;10:05:00,534.2600000,536.1600000,533.7000000,536.1600000,5058
01/05/21;10:10:00,536.5100000,537.3100000,536.3300000,536.3300000,3880
01/05/21;10:15:00,536.4000000,537.4900000,535.3300000,535.6700000,3572
01/05/21;10:20:00,535.6300000,536.4100000,534.7300000,534.7500000,2663
01/05/21;10:25:00,533.9500000,534.5900000,533.9100000,534.5900000,2135
01/05/21;10:30:00,535.9600000,536.1700000,535.4600000,535.6400000,1608
01/05/21;10:35:00,535.4700000,535.4700000,533.7000000,534.5700000,2443
01/05/21;10:40:00,534.7100000,534.9700000,534.1300000,534.2100000,2327
01/05/21;10:45:00,534.7000000,534.7000000,532.1600000,532.4800000,1600
01/05/21;10:50:00,532.0700000,533.7000000,531.9300000,533.7000000,1400
01/05/21;10:55:00,533.3500000,534.4700000,532.9200000,534.4700000,1720
01/05/21;11:00:00,534.5200000,534.6000000,532.6600000,532.7300000,1400
01/05/21;11:05:00,532.9000000,533.0700000,532.2600000,532.4700000,1525
01/05/21;11:10:00,532.7800000,532.7800000,531.2300000,531.3500000,1757
01/05/21;11:15:00,532.2500000,532.5000000,531.7800000,532.3700000,1323
01/05/21;11:20:00,531.7100000,531.7100000,530.3700000,530.5500000,2681
