<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/04/21;09:35:00,719.4600000,728.2500000,717.2900000,728.2500000,37290
01/04/21;09:40:00,727.6500000,730.8800000,726.3600000,728.0000000,31059
01/04/21;09:45:00,728.4100000,742.8500000,728.1800000,742.4000000,44956
01/04/21;09:50:00,742.4600000,743.6200000,739.7600000,740.0300000,27251
01/04/21;09:55:00,740.3700000,741.5600000,735.9100000,737.6900000,22765
01/04/21;10:00:00,737.7000000,741.0000000,737.0000000,737.0000000,9703
01/04/21;10:05:00,738.8500000,739.0500000,736.1800000,738.3000000,16369
01/04/21;10:10:00,738.0000000,739.4900000,734.4100000,735.4100000,17772
01/04/21;10:15:00,735.7300000,738.5000000,733.8500000,738.2600000,7739
01/04/21;10:20:00,738.5500000,741.3800000,738.0000000,740.0000000,13472
01/04/21;10:25:00,739.4200000,743.0000000,739.3600000,741.8100000,45566
01/04/21;10:30:00,742.3300000,742.5100000,738.9500000,740.1500000,6928
01/04/21;10:35:00,740.4700000,744.3300000,739.7000000,741.9500000,19279
01/04/21;10:40:00,741.7000000,742.0100000,739.5900000,740.2200000,11320
01/04/21;10:45:00,740.4500000,743.0000000,738.6300000,740.7800000,12817
01/04/21;10:50:00,741.0000000,741.0000000,736.2500000,736.7200000,13354
01/04/21;10:55:00,736.8500000,738.0600000,735.7500000,736.8000000,14243
01/04/21;11:00:00,737.0800000,738.4800000,730.5600000,731.6100000,24399
01/04/21;11:05:00,731.2200000,733.8300000,728.4400000,728.5000000,23764
01/04/21;11:10:00,728.9700000,732.6100000,728.9300000,732.2400000,9641
01/04/21;11:15:00,731.6200000,732.0000000,728.7500000,729.2200000,6349
01/04/21;11:20:00,729.9700000,731.3300000,728.6000000,730.4700000,7783
01/04/21;11:25:00,731.0000000,734.8800000,731.0000000,733.2900000,7975
01/04/21;11:30:00,733.4500000,736.8200000,733.0000000,735.5700000,7864
01/04/21;11:35:00,735.4500000,735.4900000,732.4000000,733.0000000,6491
01/04/21;11:40:00,734.0400000,734.5000000,732.1600000,734.5000000,5519
01/04/21;11:45:00,733.6600000,734.0000000,732.7700000,733.1700000,1649
01/04/21;11:50:00,732.8300000,733.6200000,732.3100000,733.2500000,4340
01/04/21;11:55:00,733.6000000,734.3500000,729.7400000,730.0400000,7314
01/04/21;12:00:00,729.8050000,732.9500000,729.5400000,731.3000000,4836
01/04/21;12:05:00,731.1500000,732.2200000,727.0000000,727.4100000,8051
01/04/21;12:10:00,728.0500000,729.2000000,724.9600000,724.9600000,8349
01/04/21;12:15:00,725.4800000,725.4800000,720.3000000,721.5000000,21812
01/04/21;12:20:00,721.3000000,723.6100000,719.9900000,720.3600000,21259
01/04/21;12:25:00,720.1100000,724.8100000,718.0500000,724.3000000,13890
01/04/21;12:30:00,723.9600000,725.8100000,723.0000000,723.5300000,7163
01/04/21;12:35:00,723.5000000,725.0600000,722.0000000,723.7600000,3880
01/04/21;12:40:00,724.5500000,725.5700000,722.9400000,722.9400000,3464
01/04/21;12:45:00,722.6900000,722.7400000,721.8000000,722.0800000,1600
01/04/21;12:50:00,722.4600000,722.4600000,719.9500000,721.3400000,7329
01/04/21;12:55:00,721.3100000,722.9400000,721.1200000,722.9000000,5399
01/04/21;13:00:00,723.0200000,724.9700000,723.0200000,724.0700000,5032
01/04/21;13:05:00,723.4400000,727.6000000,723.4400000,726.9400000,8539
01/04/21;13:10:00,727.0800000,727.0800000,725.1100000,726.1900000,4096
01/04/21;13:15:00,726.6100000,727.1700000,725.8700000,726.1300000,2404
01/04/21;13:20:00,725.9500000,730.7600000,725.9500000,729.8400000,11033
01/04/21;13:25:00,729.6400000,731.2200000,729.2400000,730.6650000,6504
01/04/21;13:30:00,731.4100000,731.8900000,729.8700000,731.1100000,5497
01/04/21;13:35:00,731.4300000,731.4300000,728.7600000,729.1600000,3642
01/04/21;13:40:00,729.0200000,732.5500000,729.0200000,732.4000000,5324
01/04/21;13:45:00,732.2400000,734.7000000,732.0000000,733.8700000,8631
01/04/21;13:50:00,734.4500000,735.7300000,733.2100000,735.4800000,11690
01/04/21;13:55:00,735.4400000,736.1900000,735.1600000,736.0000000,4490
01/04/21;14:00:00,735.8800000,735.8800000,732.8500000,733.1400000,7598
01/04/21;14:05:00,733.7000000,733.9800000,732.3600000,733.1100000,2765
01/04/21;14:10:00,733.3000000,733.4800000,729.2900000,729.2900000,6587
01/04/21;14:15:00,730.0400000,731.5600000,729.5100000,731.5600000,1931
01/04/21;14:20:00,731.0900000,731.0900000,728.5000000,729.0500000,3369
01/04/21;14:25:00,728.9800000,730.0000000,728.0600000,729.9550000,4173
01/04/21;14:30:00,728.4300000,728.9500000,726.3400000,727.1400000,4416
01/04/21;14:35:00,726.5200000,728.2000000,726.3500000,726.9200000,1941
01/04/21;14:40:00,727.0000000,729.7400000,726.6600000,728.9800000,4243
01/04/21;14:45:00,729.2100000,729.2100000,727.4100000,728.7100000,4353
01/04/21;14:50:00,728.5000000,728.5000000,725.8000000,725.8000000,1353
01/04/21;14:55:00,725.9900000,726.9000000,724.5500000,726.0000000,5402
01/04/21;15:00:00,726.0500000,730.6900000,725.8700000,730.0500000,8711
01/04/21;15:05:00,730.7000000,730.7000000,726.8400000,726.8400000,2431
01/04/21;15:10:00,728.2300000,730.8300000,728.2300000,729.3400000,4161
01/04/21;15:15:00,729.6000000,730.8850000,728.5200000,730.5800000,2638
01/04/21;15:20:00,730.5900000,732.4300000,729.9100000,729.9100000,5309
01/04/21;15:25:00,730.0600000,731.0500000,729.7200000,729.8700000,5114
01/04/21;15:30:00,730.2700000,731.2600000,730.2700000,730.9500000,2783
01/04/21;15:35:00,730.5100000,730.9700000,729.5000000,730.7800000,4997
01/04/21;15:40:00,731.0000000,732.6000000,730.8200000,732.0500000,6065
01/04/21;15:45:00,731.6900000,731.7700000,729.4900000,729.9800000,6373
01/04/21;15:50:00,730.0000000,730.4700000,729.9400000,730.1200000,6233
01/04/21;15:55:00,729.8600000,731.2900000,728.2500000,729.0900000,14652
01/04/21;16:00:00,729.6800000,730.1000000,729.1800000,729.5900000,10660
01/05/21;09:35:00,723.2700000,727.0000000,719.2900000,723.5300000,27641
01/05/21;09:40:00,724.3700000,728.1800000,723.0000000,725.4700000,9293
01/05/21;09:45:00,724.7000000,726.7500000,721.5700000,723.2600000,18486
01/05/21;09:50:00,723.8000000,728.1500000,722.4100000,727.0000000,8776
01/05/21;09:55:00,727.1500000,727.3800000,723.3500000,725.0000000,10053
01/05/21;10:00:00,725.1100000,727.0000000,722.0000000,722.0000000,19855
01/05/21;10:05:00,721.9300000,725.0000000,720.4800000,724.5100000,13805
01/05/21;10:10:00,724.5700000,727.5400000,724.3900000,726.5400000,10503
01/05/21;10:15:00,726.8600000,727.4000000,723.8400000,727.1500000,6244
01/05/21;10:20:00,727.7000000,734.7600000,727.7000000,733.9600000,16076
01/05/21;10:25:00,733.8600000,735.5000000,732.5500000,735.0000000,17555
01/05/21;10:30:00,735.3700000,735.3700000,731.6900000,732.0000000,7599
01/05/21;10:35:00,731.7000000,733.1800000,730.7600000,732.0000000,5491
01/05/21;10:40:00,731.8100000,734.2300000,731.8100000,733.0700000,5061
01/05/21;10:45:00,733.1000000,734.3700000,732.6000000,732.6100000,6205
01/05/21;10:50:00,732.6000000,734.1500000,731.7400000,734.1500000,6279
01/05/21;10:55:00,734.4300000,738.2200000,734.4300000,737.3900000,15096
01/05/21;11:00:00,736.3400000,736.8100000,734.4300000,734.5000000,5557
01/05/21;11:05:00,735.1400000,736.6600000,734.9300000,736.0100000,5194
01/05/21;11:10:00,736.2700000,737.2400000,735.1200000,735.6100000,4430
01/05/21;11:15:00,735.6500000,738.8700000,735.6500000,736.2000000,9490
01/05/21;11:20:00,736.5500000,736.5500000,733.5000000,736.0900000,6015
01/05/21;11:25:00,735.9400000,736.5800000,735.1300000,735.9200000,4315
01/05/21;11:30:00,735.7300000,738.7100000,735.7300000,738.5200000,5507
01/05/21;11:35:00,738.8000000,740.6300000,738.8000000,740.1700000,22325
01/05/21;11:40:00,739.3700000,740.0000000,737.8000000,738.0300000,5128
01/05/21;11:45:00,737.6900000,739.1100000,737.0000000,738.0000000,3734
01/05/21;11:50:00,738.3000000,740.0100000,737.3800000,737.8000000,5570
01/05/21;11:55:00,737.9000000,738.1800000,736.3900000,737.7300000,4497
01/05/21;12:00:00,737.4000000,737.7900000,737.0000000,737.2000000,3379
01/05/21;12:05:00,737.4100000,737.4100000,736.2500000,736.9700000,2626
